     Dollars   Income   Deduct     Acct
    -156.317  51.5397  0.27842        1
     538.081  49.2065 0.306391        0
     -188.14  64.8907 0.635657        1
      489.55  50.4901 0.482009        0
    -220.533  58.1719 0.391131        1
    -91.1928  58.8002 0.616047        1
     699.323  61.0291 0.529903        0
     733.653  58.3165 0.415291        0
     768.813  59.9087 0.619591        0
    -281.877  75.8864 0.723249        1
     26.0373  47.0795 0.555807        1
     395.361  27.8928 0.375257        0
     531.499  37.6302 0.232303        0
    -261.542  67.1849 0.615799        1
     687.362  53.2411 0.646541        0
     552.233   30.799 0.429167        0
    -111.876  40.3693 0.411943        1
     -255.58   60.837 0.492414        1
      2.4234  60.8679 0.621768        1
     533.412  48.0029 0.449862        0
     530.054  44.8428 0.457544        0
     195.571  48.2896 0.495699        1
     537.246   36.225 0.260041        0
       619.4  50.0507 0.440806        0
    -15.5032  45.9067 0.349591        1
     51.1814  43.4248 0.455178        1
     532.841  30.4461   0.2839        0
     823.259  48.8446 0.439948        0
    -8.64102  53.9296 0.707172        1
    -97.4154  46.4712 0.256167        1
     505.093  42.4827  0.51261        0
     65.9808   50.568 0.461017        1
    -7.47026  43.7096  0.64971        1
     816.892  60.1414 0.612082        0
    -327.464  85.1753 0.780466        1
     654.723  47.2056 0.484987        0
     554.773  28.2653 0.266039        0
    -323.808  74.7556 0.639404        1
     725.049  36.8293 0.341021        0
      142.59  36.7207  0.39272        1
    -106.622  51.8249 0.344162        1
    -60.0936  35.2626 0.397129        1
      458.38  34.3385 0.209268        0
     771.489  36.8966 0.492787        0
     562.566  49.2001 0.453711        0
      612.65  52.6635 0.598608        0
     891.363  48.3451 0.635033        0
     350.941  41.6967 0.185397        0
     41.7731  65.5173 0.617025        1
     592.066  57.2468 0.478552        0
