     Size         Process
    0.00463942          1
    0.00528674          1
    0.00497077          1
    0.00439947          1
    0.00653708          1
    0.00389562          1
    0.00529816          1
    0.00505487          1
    0.00570703          1
    0.00367849          1
    0.00367322          1
    0.00349741          1
    0.00543162          1
    0.00424969          1
    0.00395534          1
     0.0052916          2
     0.0051462          2
    0.00550003          2
    0.00499744          2
    0.00661664          2
    0.00409884          2
    0.00313209          2
    0.00445225          2
    0.00723506          2
    0.00375568          2
     0.0040012          2
    0.00482621          2
    0.00612421          2
    0.00652575          2
    0.00627185          2
    0.00588115          3
    0.00398318          3
    0.00370676          3
    0.00792888          3
    0.00540691          3
    0.00352429          3
    0.00386886          3
     0.0036088          3
    0.00435099          3
    0.00505821          3
    0.00553562          3
    0.00409822          3
    0.00441325          3
       0.00799          3
    0.00362404          3
