    Sales    Advertise
    25.3774 12.4428
    24.4023 14.5311
    20.5278 16.5609
    16.2495 17.1459
    22.2619 14.6529
    25.3681 12.7796
    28.8615 16.3425
    38.4694 13.7215
    48.3832 16.6364
    40.0528 12.7471
    37.4447 14.5316
     36.146 19.2255
    33.3631 16.2861
    32.3235 16.2466
    29.3972 16.6342
    24.4464 14.4282
     30.338 15.6906
    32.9497 15.0932
    37.4815 20.2155
    46.8876 18.8232
    57.0042 16.2823
    48.8252 20.2877
    45.9891 21.8136
    44.5178  16.623
    42.0734 18.1018
    40.8352 19.8959
    37.8526 21.0406
    33.3163  21.032
    38.8964 18.3974
    41.3573 23.0657
    45.5463 18.1493
    55.6658 19.1564
    65.4644 21.6039
    57.0853 24.9569
     54.248 23.4725
    53.4766 20.6838
